0.000	2.268967
0.641	2.268967
0.706	2.292155
1.249	2.292155
1.303	2.260315
1.798	2.260315
1.905	2.289974
2.448	2.289974
2.508	2.236745
3.980	2.236745
4.098	2.243408
5.234	2.243408
5.298	2.230147
6.563	2.230147
6.605	2.888626
9.542	2.888626
9.592	1.960156
17.981	1.960156
18.099	3.019069
23.847	3.019069
23.901	1.997034
32.608	1.997034
32.708	1.582455
37.346	1.582455
37.413	1.572189
42.231	1.572189
42.315	1.538622
47.704	1.538622
47.810	1.790533
51.481	1.790533
51.794	2.145660
55.236	2.145660
55.301	2.110121
58.966	2.110121
59.009	1.577407
63.501	1.577407
63.614	1.576661
65.672	1.576661
65.808	1.605481
66.510	1.605481
66.618	1.569069
69.686	1.569069
69.814	1.661271
74.414	1.661271
74.511	1.928339
78.527	1.928339
78.600	2.639019
81.250	2.639019
81.490	3.034984
83.857	3.034984
83.898	3.160698
86.191	3.160698
86.300	2.847204
89.325	2.847204
89.397	2.609972
91.721	2.609972
91.802	2.610662
94.783	2.610662
94.900	2.599563
97.903	2.599563
98.002	2.426192
100.882	2.426192
101.004	2.405679
104.178	2.405679
104.301	2.406695
107.243	2.406695
107.491	2.370530
110.985	2.370530
111.098	2.370329
114.561	2.370329
114.609	2.587028
117.528	2.587028
117.598	2.687418
119.768	2.687418
119.798	2.588313
122.699	2.588313
122.805	1.249247
136.470	1.249247
136.611	2.392229
139.723	2.392229
139.802	2.377155
142.691	2.377155
142.803	2.189597
146.548	2.189597
146.788	3.725717
148.691	3.725717
148.796	2.135318
152.445	2.135318
152.507	1.492598
157.647	1.492598
157.692	3.755503
159.784	3.755503
159.926	1.088768
166.030	1.088768
166.127	1.403599
170.951	1.403599
171.002	2.241834
173.139	2.241834
